ref,id,pricePath,experimentRound,cabinNo,experimentGroup
4,123,1,0,0,1
4,123,1,0,0,2
4,456,1,0,0,3
4,,1,0,0,4
4,,2,0,0,1
4,,2,0,0,2
4,,2,0,0,3
4,,2,0,0,4
4,,3,0,0,1
4,,3,0,0,2
4,,3,0,0,3
4,,3,0,0,4
4,,4,0,0,1
4,,4,0,0,2
4,,4,0,0,3
4,,4,0,0,4
4,,5,0,0,1
4,,5,0,0,2
4,,5,0,0,3
4,,5,0,0,4
4,,6,0,0,1
4,,6,0,0,2
4,,6,0,0,3
4,,6,0,0,4
4,,7,0,0,1
4,,7,0,0,2
4,,7,0,0,3
4,,7,0,0,4
4,,8,0,0,1
4,,8,0,0,2
4,,8,0,0,3
4,,8,0,0,4
4,,9,0,0,1
4,,9,0,0,2
4,,9,0,0,3
4,,9,0,0,4
4,,10,0,0,1
4,,10,0,0,2
4,,10,0,0,3
4,,10,0,0,4
